id,type,question,response,sentence,sentence_id,trial_sequence_total,wrong_practice
324,,,NA,Michael discussed the claim that the mechanic fixed the car after the accident.,1045,NA,NA
324,,Was there a claim that the mechanic fixed the car after the accident?,1,Michael discussed the claim that the mechanic fixed the car after the accident.,1045,NA,NA
324,,,NA,Anna watered the plants on the balcony.,3004,NA,NA
324,,Were there plants on the balcony?,1,Anna watered the plants on the balcony.,3004,NA,NA
324,filler_good,,0.98,What did the mechanic replace in the engine?,2008,NA,NA
324,acceptability,,0.99,Who claimed that the gardener planted flowers near the fence?,1114,NA,NA
324,filler_good,,1,Which song did the band play as an encore?,2012,NA,NA
324,filler_bad,,0,What the letter that important very was mailed nobody did?,2028,NA,NA
324,acceptability,,1,What did Olivia claim that the secretary sent to the wrong department?,1173,NA,NA
324,filler_good,,1,What did the barista spill on the counter?,2005,NA,NA
324,filler_bad,,0.01,Why the waiter spilled was everyone the coffee laughing?,2031,NA,NA
324,acceptability,,0,What did Ben discuss the claim that the delivery driver dropped on the street?,1181,NA,NA
324,filler_bad,,0.01,Who did the chair that broken completely sat on the chair?,2023,NA,NA
324,filler_bad,,0,What did the neighbor that barking dog kept complain about nobody?,2020,NA,NA
324,acceptability,,1,Who discussed the claim that the neighbor played loud music after midnight?,1052,NA,NA
324,filler_good,,1,Where did the children hide the treasure?,2004,NA,NA
324,filler_good,,1,Where did the hikers set up their tent?,2010,NA,NA
324,acceptability,,0.23,What did the landlord discuss the claim that the plumber fixed before the inspection?,1201,NA,NA
324,filler_bad,,0,Who the manager said forgot did the keys actually?,2030,NA,NA
324,filler_good,,0.97,Who did the coach choose as captain?,2015,NA,NA
324,acceptability,,0.97,Who discussed the claim that the lawyer filed the report too late?,1232,NA,NA
324,filler_good,,1,Whose jacket did Alex find in the library?,2011,NA,NA
324,filler_good,,1,Which cookies did the baker put on the tray?,2014,NA,NA
324,acceptability,,1,What did John claim that the bakery shop would serve tomorrow?,1013,NA,NA
324,filler_bad,,0.25,Who did the rumor that dancing liked nobody believe?,2017,NA,NA
324,filler_bad,,0.01,Which restaurant the friends to last summer went closing is now did?,2025,NA,NA
324,acceptability,,1,Who claimed that the committee rejected the proposal without review?,1244,NA,NA
324,filler_bad,,0,Which song that the band to rehearsed never finished was?,2032,NA,NA
324,filler_good,,1,What did the cat knock off the shelf?,2016,NA,NA
324,acceptability,,0.79,What did Megan discuss the claim that the company released ahead of schedule?,1191,NA,NA
324,filler_bad,,0,Why did raining was when the kids outside played?,2022,NA,NA
324,filler_good,,1,When did the train leave the station?,2013,NA,NA
324,acceptability,,1,What did Ethan claim that the scientist developed in the new lab?,1223,NA,NA
324,filler_good,,1,Which picture did the curator hang in the gallery?,2006,NA,NA
324,filler_bad,,0,Who the doctor that nervous looked yesterday treated did?,2021,NA,NA
324,acceptability,,1,Who discussed the claim that the chef added too much salt to the soup by mistake?,1142,NA,NA
324,filler_bad,,0.02,Why the pilot said turbulence during was everyone panicking?,2024,NA,NA
324,filler_good,,0.98,Which book did Maya finish last night?,2003,NA,NA
324,acceptability,,1,Who claimed that the café overcharged the customer for coffee?,1124,NA,NA
324,filler_bad,,0.06,Who the bride during crying was the ceremony guests smiling did?,2026,NA,NA
324,filler_good,,0.99,What did Wendy bake for the party?,2001,NA,NA
324,acceptability,,0.95,What did Chloe claim that the chef burned during the dinner service?,1213,NA,NA
324,filler_good,,0.99,Where did the neighbors see the comet last night?,2007,NA,NA
324,filler_good,,0.98,Which movie did Carla watch on Friday?,2009,NA,NA
324,acceptability,,0.12,What did Liam discuss the claim that the bus driver skipped during the morning route?,1081,NA,NA
324,filler_bad,,0,Where the suitcase that broken handle had left was did you?,2027,NA,NA
324,filler_bad,,0.03,What the tourists taking photos were of shouting did confuse?,2018,NA,NA
324,acceptability,,1,Who claimed that the airline canceled the morning flight to Chicago?,1034,NA,NA
324,filler_good,,1,Who did Liam invite to the picnic?,2002,NA,NA
324,filler_bad,,0.05,What did seem the girl that crying was in the hallway?,2029,NA,NA
324,acceptability,,0.97,Who discussed the claim that the museum restored the painting?,1102,NA,NA
324,filler_bad,,0.01,When the cat jumped that scared loudly the child was?,2019,NA,NA
324,,,NA,Christine didn't buy the heavy suitcase.,3028,NA,NA
324,,Was there a heavy suitcase?,1,Christine didn't buy the heavy suitcase.,3028,NA,NA
324,,,NA,Grace didn’t discuss the claim that the nurse gave the wrong medication to a patient.,1096,NA,NA
324,,Was there a claim that the nurse gave the wrong medication to a patient?,1,Grace didn’t discuss the claim that the nurse gave the wrong medication to a patient.,1096,NA,NA
324,,,NA,Maria polished the silver jewelry in the display case.,3021,NA,NA
324,,Was there silver jewelry in the display case?,0.99,Maria polished the silver jewelry in the display case.,3021,NA,NA
324,,,NA,The assistant labeled the confidential folders in the archive.,3022,NA,NA
324,,Were there confidential folders in the archive?,1,The assistant labeled the confidential folders in the archive.,3022,NA,NA
324,,,NA,Thomas didn’t discuss the claim that the author deleted a chapter from the final draft.,1166,NA,NA
324,,Was there a claim that the author deleted a chapter from the final draft?,1,Thomas didn’t discuss the claim that the author deleted a chapter from the final draft.,1166,NA,NA
324,,,NA,The coach didn't reserve the practice field for the team.,3027,NA,NA
324,,Was there a practice field for the team?,0.03,The coach didn't reserve the practice field for the team.,3027,NA,NA
324,,,NA,The musician tuned the old piano in the practice hall.,3018,NA,NA
324,,Was there an old piano in the practice hall?,1,The musician tuned the old piano in the practice hall.,3018,NA,NA
324,,,NA,Laura discussed the claim that the reporter misquoted the politician in the article.,1135,NA,NA
324,,Was there a claim that the reporter misquoted the politician in the article?,0.99,Laura discussed the claim that the reporter misquoted the politician in the article.,1135,NA,NA
324,,,NA,The journalist didn't review the important documents in the office.,3025,NA,NA
324,,Were there important documents in the office?,1,The journalist didn't review the important documents in the office.,3025,NA,NA
324,,,NA,Frank found the missing wallet under the table.,3023,NA,NA
324,,Was there a missing wallet under the table?,1,Frank found the missing wallet under the table.,3023,NA,NA
324,,,NA,Rachel discussed the claim that the photographer lost the camera during the trip.,1155,NA,NA
324,,Was there a claim that the photographer lost the camera during the trip?,0.99,Rachel discussed the claim that the photographer lost the camera during the trip.,1155,NA,NA
324,,,NA,The clerk didn't sort the returned packages at the counter.,3032,NA,NA
324,,Were there returned packages at the counter?,0.96,The clerk didn't sort the returned packages at the counter.,3032,NA,NA
180,practice_good,,0.5,,NA,0,0
180,practice_bad,,0.04,,NA,0,0
180,,Was there a festival yesterday?,0.83,John didn’t buy anything at the festival yesterday.,NA,NA,NA
180,,,NA,The student read the new history book in the library.,3001,NA,NA
180,,Was there a new history book in the library?,0.8,The student read the new history book in the library.,3001,NA,NA
180,,,NA,Rachel didn’t discuss the claim that the photographer lost the camera during the trip.,1156,NA,NA
180,,Was there a claim that the photographer lost the camera during the trip?,0.86,Rachel didn’t discuss the claim that the photographer lost the camera during the trip.,1156,NA,NA
180,,,NA,Ben didn't take pictures of the ancient statue.,3015,NA,NA
180,,Was there an ancient statue?,0.87,Ben didn't take pictures of the ancient statue.,3015,NA,NA
180,,,NA,Emily bought fresh vegetables at the supermarket.,3002,NA,NA
180,,Were there fresh vegetables at the supermarket?,1,Emily bought fresh vegetables at the supermarket.,3002,NA,NA
180,,,NA,Thomas discussed the claim that the author deleted a chapter from the final draft.,1165,NA,NA
180,,Was there a claim that the author deleted a chapter from the final draft?,1,Thomas discussed the claim that the author deleted a chapter from the final draft.,1165,NA,NA
180,,,NA,Anna watered the plants on the balcony.,3004,NA,NA
180,,Were there plants on the balcony?,1,Anna watered the plants on the balcony.,3004,NA,NA
180,,,NA,The teacher posted the new schedule on the board.,3005,NA,NA
180,,Was there a new schedule on the board?,1,The teacher posted the new schedule on the board.,3005,NA,NA
180,,,NA,Ben discussed the claim that the delivery driver dropped the package on the street.,1185,NA,NA
180,,Was there a claim that the delivery driver dropped the package on the street?,0.77,Ben discussed the claim that the delivery driver dropped the package on the street.,1185,NA,NA
180,,,NA,The librarian didn't organize the new books on the shelf.,3011,NA,NA
180,,Were there new books on the shelf?,0.49,The librarian didn't organize the new books on the shelf.,3011,NA,NA
180,,,NA,The hikers didn't catch the rare bird near the lake.,3014,NA,NA
180,,Was there a rare bird near the lake?,0.5,The hikers didn't catch the rare bird near the lake.,3014,NA,NA
180,,,NA,Laura didn’t discuss the claim that the reporter misquoted the politician in the article.,1136,NA,NA
180,,Was there a claim that the reporter misquoted the politician in the article?,0.63,Laura didn’t discuss the claim that the reporter misquoted the politician in the article.,1136,NA,NA
180,,,NA,The professor didn't update the lecture slides online.,3016,NA,NA
180,,Were there lecture slides online?,0.84,The professor didn't update the lecture slides online.,3016,NA,NA
180,filler_good,,0.89,What did the mechanic replace in the engine?,2008,NA,NA
180,acceptability,,0.69,What did Ethan claim that the scientist developed in the new lab?,1223,NA,NA
180,filler_bad,,0.09,Who the doctor that nervous looked yesterday treated did?,2021,NA,NA
180,filler_bad,,0,What did seem the girl that crying was in the hallway?,2029,NA,NA
180,acceptability,,1,Who claimed that the lawyer filed the report too late?,1234,NA,NA
180,filler_good,,1,Who did the coach choose as captain?,2015,NA,NA
180,filler_bad,,0,What did the neighbor that barking dog kept complain about nobody?,2020,NA,NA
180,acceptability,,0.9,Who discussed the claim that the babysitter forgot to pick up the children after school?,1062,NA,NA
180,filler_bad,,0,Why the pilot said turbulence during was everyone panicking?,2024,NA,NA
180,filler_good,,1,Which book did Maya finish last night?,2003,NA,NA
180,acceptability,,0.24,What did the manager discuss the claim that the café overcharged for coffee?,1121,NA,NA
180,filler_good,,1,Where did the hikers set up their tent?,2010,NA,NA
180,filler_bad,,0.11,Where the suitcase that broken handle had left was did you?,2027,NA,NA
180,acceptability,,1,Who claimed that the company released the new software ahead of schedule?,1194,NA,NA
180,filler_bad,,0.35,Who the manager said forgot did the keys actually?,2030,NA,NA
180,filler_bad,,0,What the letter that important very was mailed nobody did?,2028,NA,NA
180,acceptability,,0.64,What did Nora claim that the scientist discovered in the final experiment?,1073,NA,NA
180,filler_good,,1,When did the train leave the station?,2013,NA,NA
180,filler_good,,0.78,Where did the neighbors see the comet last night?,2007,NA,NA
180,acceptability,,0.73,Who discussed the claim that the bus driver skipped several stops during the morning route?,1082,NA,NA
180,filler_bad,,0.12,Which song that the band to rehearsed never finished was?,2032,NA,NA
180,filler_good,,0.92,Which song did the band play as an encore?,2012,NA,NA
180,acceptability,,0.47,What did the landlord discuss the claim that the plumber fixed before the inspection?,1201,NA,NA
180,filler_good,,1,What did Wendy bake for the party?,2001,NA,NA
180,filler_bad,,0.15,Why did raining was when the kids outside played?,2022,NA,NA
180,acceptability,,0.05,What did Grace discuss the claim that the nurse gave to a patient?,1091,NA,NA
180,filler_bad,,0.05,What the tourists taking photos were of shouting did confuse?,2018,NA,NA
180,filler_good,,1,Which picture did the curator hang in the gallery?,2006,NA,NA
180,acceptability,,1,Who claimed that the committee rejected the proposal without review?,1244,NA,NA
180,filler_good,,1,Where did the children hide the treasure?,2004,NA,NA
180,filler_bad,,0.29,Who did the chair that broken completely sat on the chair?,2023,NA,NA
180,acceptability,,1,What did Chloe claim that the chef burned during the dinner service?,1213,NA,NA
180,filler_good,,1,Which cookies did the baker put on the tray?,2014,NA,NA
180,filler_bad,,0.18,Why the waiter spilled was everyone the coffee laughing?,2031,NA,NA
180,acceptability,,0.77,Who discussed the claim that the mechanic fixed the car after the accident?,1042,NA,NA
180,filler_good,,1,What did the cat knock off the shelf?,2016,NA,NA
180,filler_good,,1,Who did Liam invite to the picnic?,2002,NA,NA
180,acceptability,,0.78,Who discussed the claim that the chef added too much salt to the soup by mistake?,1142,NA,NA
180,filler_good,,0.92,Which movie did Carla watch on Friday?,2009,NA,NA
180,filler_bad,,0.07,Who did the rumor that dancing liked nobody believe?,2017,NA,NA
180,acceptability,,0.85,Who claimed that the museum restored the painting?,1104,NA,NA
180,filler_good,,0.91,Whose jacket did Alex find in the library?,2011,NA,NA
180,filler_bad,,0.23,Which restaurant the friends to last summer went closing is now did?,2025,NA,NA
180,acceptability,,0.88,What did Amy claim that the gardener planted near the fence?,1113,NA,NA
180,filler_good,,1,What did the barista spill on the counter?,2005,NA,NA
180,filler_bad,,0.04,When the cat jumped that scared loudly the child was?,2019,NA,NA
180,acceptability,,0.14,What did Olivia discuss the claim that the secretary sent to the wrong department?,1171,NA,NA
180,filler_bad,,0,Who the bride during crying was the ceremony guests smiling did?,2026,NA,NA
180,,,NA,Christine didn't buy the heavy suitcase.,3028,NA,NA
180,,Was there a heavy suitcase?,0.49,Christine didn't buy the heavy suitcase.,3028,NA,NA
180,,,NA,David discussed the claim that the airline canceled the morning flight to Chicago.,1035,NA,NA
180,,Was there a claim that the airline canceled the morning flight to Chicago?,0.81,David discussed the claim that the airline canceled the morning flight to Chicago.,1035,NA,NA
180,,,NA,Maria polished the silver jewelry in the display case.,3021,NA,NA
180,,Was there silver jewelry in the display case?,1,Maria polished the silver jewelry in the display case.,3021,NA,NA
180,,,NA,The assistant didn't label the confidential folders in the archive.,3030,NA,NA
180,,Were there confidential folders in the archive?,0.49,The assistant didn't label the confidential folders in the archive.,3030,NA,NA
180,,,NA,Emma didn’t discuss the claim that the neighbor played loud music after midnight.,1056,NA,NA
180,,Was there a claim that the neighbor played loud music after midnight?,0.66,Emma didn’t discuss the claim that the neighbor played loud music after midnight.,1056,NA,NA
180,,,NA,Frank didn't find the missing wallet under the table.,3031,NA,NA
180,,Was there a missing wallet under the table?,0.19,Frank didn't find the missing wallet under the table.,3031,NA,NA
180,,,NA,The journalist didn't review the important documents in the office.,3025,NA,NA
180,,Were there important documents in the office?,0.51,The journalist didn't review the important documents in the office.,3025,NA,NA
180,,,NA,John discussed the claim that the bakery shop would serve donuts tomorrow.,1015,NA,NA
180,,Was there a claim that the bakery shop would serve donuts tomorrow?,0.75,John discussed the claim that the bakery shop would serve donuts tomorrow.,1015,NA,NA
180,,,NA,The coach reserved the practice field for the team.,3019,NA,NA
180,,Was there a practice field for the team?,0.66,The coach reserved the practice field for the team.,3019,NA,NA
180,,,NA,The musician tuned the old piano in the practice hall.,3018,NA,NA
180,,Was there an old piano in the practice hall?,1,The musician tuned the old piano in the practice hall.,3018,NA,NA
180,,,NA,Katie didn’t discuss the claim that the cat knocked over the vase.,1026,NA,NA
180,,Was there a claim that the cat knocked over the vase?,0.79,Katie didn’t discuss the claim that the cat knocked over the vase.,1026,NA,NA
180,,,NA,The clerk sorted the returned packages at the counter.,3024,NA,NA
180,,Were there returned packages at the counter?,0.86,The clerk sorted the returned packages at the counter.,3024,NA,NA
127,practice_good,,0.86,,NA,0,0
127,practice_bad,,0.11,,NA,0,0
127,,Was there a festival yesterday?,0.88,John didn’t buy anything at the festival yesterday.,NA,NA,NA
127,,,NA,Emily bought fresh vegetables at the supermarket.,3002,NA,NA
127,,Were there fresh vegetables at the supermarket?,0.95,Emily bought fresh vegetables at the supermarket.,3002,NA,NA
127,,,NA,Liam didn’t discuss the claim that the bus driver skipped several stops during the morning route.,1086,NA,NA
127,,Was there a claim that the bus driver skipped several stops during the morning route?,0.78,Liam didn’t discuss the claim that the bus driver skipped several stops during the morning route.,1086,NA,NA
127,,,NA,Ben didn't take pictures of the ancient statue.,3015,NA,NA
127,,Was there an ancient statue?,0.85,Ben didn't take pictures of the ancient statue.,3015,NA,NA
127,,,NA,The hikers caught the rare bird near the lake.,3006,NA,NA
127,,Was there a rare bird near the lake?,0.81,The hikers caught the rare bird near the lake.,3006,NA,NA
127,,,NA,Ethan didn’t discuss the claim that the scientist developed a vaccine in the new lab.,1226,NA,NA
127,,Was there a claim that the scientist developed a vaccine in the new lab?,0.55,Ethan didn’t discuss the claim that the scientist developed a vaccine in the new lab.,1226,NA,NA
127,,,NA,The teacher posted the new schedule on the board.,3005,NA,NA
127,,Was there a new schedule on the board?,0.25,The teacher posted the new schedule on the board.,3005,NA,NA
127,,,NA,Anna didn't water the plants on the balcony.,3012,NA,NA
127,,Were there plants on the balcony?,0.47,Anna didn't water the plants on the balcony.,3012,NA,NA
127,,,NA,David discussed the claim that the airline canceled the morning flight to Chicago.,1035,NA,NA
127,,Was there a claim that the airline canceled the morning flight to Chicago?,0.62,David discussed the claim that the airline canceled the morning flight to Chicago.,1035,NA,NA
127,,,NA,The professor didn't update the lecture slides online.,3016,NA,NA
127,,Were there lecture slides online?,0.6,The professor didn't update the lecture slides online.,3016,NA,NA
127,,,NA,The student read the new history book in the library.,3001,NA,NA
127,,Was there a new history book in the library?,0.72,The student read the new history book in the library.,3001,NA,NA
127,,,NA,Rachel discussed the claim that the photographer lost the camera during the trip.,1155,NA,NA
127,,Was there a claim that the photographer lost the camera during the trip?,0.89,Rachel discussed the claim that the photographer lost the camera during the trip.,1155,NA,NA
127,,,NA,The librarian didn't organize the new books on the shelf.,3011,NA,NA
127,,Were there new books on the shelf?,0.53,The librarian didn't organize the new books on the shelf.,3011,NA,NA
127,filler_bad,,0.04,When the cat jumped that scared loudly the child was?,2019,NA,NA
127,acceptability,,0.82,What did Amy claim that the gardener planted near the fence?,1113,NA,NA
127,filler_bad,,0.04,What did seem the girl that crying was in the hallway?,2029,NA,NA
127,filler_bad,,0.07,Who the bride during crying was the ceremony guests smiling did?,2026,NA,NA
127,acceptability,,0.75,Who discussed the claim that the delivery driver dropped the package on the street?,1182,NA,NA
127,filler_good,,0.87,What did the mechanic replace in the engine?,2008,NA,NA
127,filler_good,,0.95,Who did Liam invite to the picnic?,2002,NA,NA
127,acceptability,,0.07,What did John discuss the claim that the bakery shop would serve tomorrow?,1011,NA,NA
127,filler_good,,0.66,Where did the neighbors see the comet last night?,2007,NA,NA
127,filler_good,,0.8,Which movie did Carla watch on Friday?,2009,NA,NA
127,acceptability,,0.83,Who claimed that the author deleted a chapter from the final draft?,1164,NA,NA
127,filler_bad,,0.01,Who the doctor that nervous looked yesterday treated did?,2021,NA,NA
127,filler_bad,,0.1,What did the neighbor that barking dog kept complain about nobody?,2020,NA,NA
127,acceptability,,0.78,Who discussed the claim that the babysitter forgot to pick up the children after school?,1062,NA,NA
127,filler_bad,,0.1,Why the waiter spilled was everyone the coffee laughing?,2031,NA,NA
127,filler_good,,0.87,Whose jacket did Alex find in the library?,2011,NA,NA
127,acceptability,,0.82,Who claimed that the secretary sent the report to the wrong department?,1174,NA,NA
127,filler_bad,,0.07,Who did the chair that broken completely sat on the chair?,2023,NA,NA
127,filler_good,,0.89,Which book did Maya finish last night?,2003,NA,NA
127,acceptability,,0.1,What did Megan discuss the claim that the company released ahead of schedule?,1191,NA,NA
127,filler_good,,0.93,When did the train leave the station?,2013,NA,NA
127,filler_bad,,0.07,Why the pilot said turbulence during was everyone panicking?,2024,NA,NA
127,acceptability,,0.89,What did Nora claim that the scientist discovered in the final experiment?,1073,NA,NA
127,filler_good,,0.93,Which song did the band play as an encore?,2012,NA,NA
127,filler_bad,,0.05,What the tourists taking photos were of shouting did confuse?,2018,NA,NA
127,acceptability,,0.88,What did the landlord claim that the plumber fixed before the inspection?,1203,NA,NA
127,filler_bad,,0.05,Who the manager said forgot did the keys actually?,2030,NA,NA
127,filler_good,,0.87,Which cookies did the baker put on the tray?,2014,NA,NA
127,acceptability,,0.7,Who discussed the claim that the reporter misquoted the politician in the article?,1132,NA,NA
127,filler_good,,0.95,Who did the coach choose as captain?,2015,NA,NA
127,filler_good,,0.95,Where did the hikers set up their tent?,2010,NA,NA
127,acceptability,,0.91,Who claimed that the chef added too much salt to the soup by mistake?,1144,NA,NA
127,filler_bad,,0.07,Which song that the band to rehearsed never finished was?,2032,NA,NA
127,filler_bad,,0.08,Which restaurant the friends to last summer went closing is now did?,2025,NA,NA
127,acceptability,,0.27,What did Michael discuss the claim that the mechanic fixed after the accident?,1041,NA,NA
127,filler_good,,0.96,What did the cat knock off the shelf?,2016,NA,NA
127,filler_good,,0.95,Which picture did the curator hang in the gallery?,2006,NA,NA
127,acceptability,,0.94,Who claimed that the cat knocked over the vase?,1024,NA,NA
127,filler_bad,,0,What the letter that important very was mailed nobody did?,2028,NA,NA
127,filler_bad,,0.1,Where the suitcase that broken handle had left was did you?,2027,NA,NA
127,acceptability,,0.42,What did the manager discuss the claim that the café overcharged for coffee?,1121,NA,NA
127,filler_bad,,0.11,Why did raining was when the kids outside played?,2022,NA,NA
127,filler_good,,0.97,What did Wendy bake for the party?,2001,NA,NA
127,acceptability,,0.85,What did Emma claim that the neighbor played after midnight?,1053,NA,NA
127,filler_good,,0.94,Where did the children hide the treasure?,2004,NA,NA
127,filler_good,,0.91,What did the barista spill on the counter?,2005,NA,NA
127,acceptability,,0.04,Who discussed the claim that the committee rejected the proposal without review?,1242,NA,NA
127,filler_bad,,0.09,Who did the rumor that dancing liked nobody believe?,2017,NA,NA
127,,,NA,The clerk didn't sort the returned packages at the counter.,3032,NA,NA
127,,Were there returned packages at the counter?,0.8,The clerk didn't sort the returned packages at the counter.,3032,NA,NA
127,,,NA,Hannah discussed the claim that the lawyer filed the report too late.,1235,NA,NA
127,,Was there a claim that the lawyer filed the report too late?,0.72,Hannah discussed the claim that the lawyer filed the report too late.,1235,NA,NA
127,,,NA,Maria didn't polish the silver jewelry in the display case.,3029,NA,NA
127,,Was there silver jewelry in the display case?,0.79,Maria didn't polish the silver jewelry in the display case.,3029,NA,NA
127,,,NA,The coach didn't reserve the practice field for the team.,3027,NA,NA
127,,Was there a practice field for the team?,0.8,The coach didn't reserve the practice field for the team.,3027,NA,NA
127,,,NA,Grace discussed the claim that the nurse gave the wrong medication to a patient.,1095,NA,NA
127,,Was there a claim that the nurse gave the wrong medication to a patient?,0.82,Grace discussed the claim that the nurse gave the wrong medication to a patient.,1095,NA,NA
127,,,NA,Christine bought the heavy suitcase.,3020,NA,NA
127,,Was there a heavy suitcase?,0.75,Christine bought the heavy suitcase.,3020,NA,NA
127,,,NA,The journalist reviewed the important documents in the office.,3017,NA,NA
127,,Were there important documents in the office?,0.85,The journalist reviewed the important documents in the office.,3017,NA,NA
127,,,NA,The curator didn’t discuss the claim that the museum restored the painting.,1106,NA,NA
127,,Was there a claim that the museum restored the painting?,0.56,The curator didn’t discuss the claim that the museum restored the painting.,1106,NA,NA
127,,,NA,The assistant labeled the confidential folders in the archive.,3022,NA,NA
127,,Were there confidential folders in the archive?,0.92,The assistant labeled the confidential folders in the archive.,3022,NA,NA
127,,,NA,Frank found the missing wallet under the table.,3023,NA,NA
127,,Was there a missing wallet under the table?,0.92,Frank found the missing wallet under the table.,3023,NA,NA
127,,,NA,Chloe didn’t discuss the claim that the chef burned the steak during the dinner service.,1216,NA,NA
127,,Was there a claim that the chef burned the steak during the dinner service?,0.75,Chloe didn’t discuss the claim that the chef burned the steak during the dinner service.,1216,NA,NA
127,,,NA,The musician didn't tune the old piano in the practice hall.,3026,NA,NA
127,,Was there an old piano in the practice hall?,0.67,The musician didn't tune the old piano in the practice hall.,3026,NA,NA
38,practice_good,,0.98,,NA,0,0
38,practice_bad,,0.01,,NA,0,0
38,,Was there a festival yesterday?,0.02,John didn’t buy anything at the festival yesterday.,NA,NA,NA
38,,,NA,The professor updated the lecture slides online.,3008,NA,NA
38,,Were there lecture slides online?,0.97,The professor updated the lecture slides online.,3008,NA,NA
38,,,NA,Katie didn’t discuss the claim that the cat knocked over the vase.,1026,NA,NA
38,,Was there a claim that the cat knocked over the vase?,0.93,Katie didn’t discuss the claim that the cat knocked over the vase.,1026,NA,NA
38,,,NA,Ben took pictures of the ancient statue.,3007,NA,NA
38,,Was there an ancient statue?,0.99,Ben took pictures of the ancient statue.,3007,NA,NA
38,,,NA,Anna didn't water the plants on the balcony.,3012,NA,NA
38,,Were there plants on the balcony?,0.98,Anna didn't water the plants on the balcony.,3012,NA,NA
38,,,NA,Rachel discussed the claim that the photographer lost the camera during the trip.,1155,NA,NA
38,,Was there a claim that the photographer lost the camera during the trip?,0.98,Rachel discussed the claim that the photographer lost the camera during the trip.,1155,NA,NA
38,,,NA,The librarian organized the new books on the shelf.,3003,NA,NA
38,,Were there new books on the shelf?,0.98,The librarian organized the new books on the shelf.,3003,NA,NA
38,,,NA,The teacher didn't post the new schedule on the board.,3013,NA,NA
38,,Was there a new schedule on the board?,0.03,The teacher didn't post the new schedule on the board.,3013,NA,NA
38,,,NA,The landlord discussed the claim that the plumber fixed the leak before the inspection.,1205,NA,NA
38,,Was there a claim that the plumber fixed the leak before the inspection?,0.91,The landlord discussed the claim that the plumber fixed the leak before the inspection.,1205,NA,NA
38,,,NA,Emily didn't buy fresh vegetables at the supermarket.,3010,NA,NA
38,,Were there fresh vegetables at the supermarket?,0.49,Emily didn't buy fresh vegetables at the supermarket.,3010,NA,NA
38,,,NA,The hikers caught the rare bird near the lake.,3006,NA,NA
38,,Was there a rare bird near the lake?,0.99,The hikers caught the rare bird near the lake.,3006,NA,NA
38,,,NA,The manager didn’t discuss the claim that the café overcharged the customer for coffee.,1126,NA,NA
38,,Was there a claim that the café overcharged the customer for coffee?,0.95,The manager didn’t discuss the claim that the café overcharged the customer for coffee.,1126,NA,NA
38,,,NA,The student didn't read the new history book in the library.,3009,NA,NA
38,,Was there a new history book in the library?,0.5,The student didn't read the new history book in the library.,3009,NA,NA
38,filler_bad,,0.01,Who the doctor that nervous looked yesterday treated did?,2021,NA,NA
38,acceptability,,0.73,Who claimed that the company released the new software ahead of schedule?,1194,NA,NA
38,filler_bad,,0.02,What the tourists taking photos were of shouting did confuse?,2018,NA,NA
38,filler_bad,,0,Why did raining was when the kids outside played?,2022,NA,NA
38,acceptability,,0.96,What did the curator claim that the museum restored?,1103,NA,NA
38,filler_good,,0.98,Which song did the band play as an encore?,2012,NA,NA
38,filler_bad,,0.02,What did the neighbor that barking dog kept complain about nobody?,2020,NA,NA
38,acceptability,,0.04,What did Amy discuss the claim that the gardener planted near the fence?,1111,NA,NA
38,filler_good,,0.97,Which movie did Carla watch on Friday?,2009,NA,NA
