,workerid,dependency_length,item_type,lexicalization,order,response,sentence,sentence_id,structure
78,180,,filler_good,NA,54,1,Where did the children hide the treasure?,2004,
79,180,,filler_bad,NA,55,0.29,Who did the chair that broken completely sat on the chair?,2023,
80,180,long,acceptability,21,56,1,What did Chloe claim that the chef burned during the dinner service?,1213,nonisland
81,180,,filler_good,NA,57,1,Which cookies did the baker put on the tray?,2014,
82,180,,filler_bad,NA,58,0.18,Why the waiter spilled was everyone the coffee laughing?,2031,
83,180,short,acceptability,4,59,0.77,Who discussed the claim that the mechanic fixed the car after the accident?,1042,island
84,180,,filler_good,NA,60,1,What did the cat knock off the shelf?,2016,
85,180,,filler_good,NA,61,1,Who did Liam invite to the picnic?,2002,
86,180,short,acceptability,14,62,0.78,Who discussed the claim that the chef added too much salt to the soup by mistake?,1142,island
87,180,,filler_good,NA,63,0.92,Which movie did Carla watch on Friday?,2009,
88,180,,filler_bad,NA,64,0.07,Who did the rumor that dancing liked nobody believe?,2017,
89,180,short,acceptability,10,65,0.85,Who claimed that the museum restored the painting?,1104,nonisland
90,180,,filler_good,NA,66,0.91,Whose jacket did Alex find in the library?,2011,
91,180,,filler_bad,NA,67,0.23,Which restaurant the friends to last summer went closing is now did?,2025,
92,180,long,acceptability,11,68,0.88,What did Amy claim that the gardener planted near the fence?,1113,nonisland
93,180,,filler_good,NA,69,1,What did the barista spill on the counter?,2005,
94,180,,filler_bad,NA,70,0.04,When the cat jumped that scared loudly the child was?,2019,
95,180,long,acceptability,17,71,0.14,What did Olivia discuss the claim that the secretary sent to the wrong department?,1171,island
96,180,,filler_bad,NA,72,0,Who the bride during crying was the ceremony guests smiling did?,2026,
97,127,,filler_bad,NA,25,0.04,When the cat jumped that scared loudly the child was?,2019,
98,127,long,acceptability,11,26,0.82,What did Amy claim that the gardener planted near the fence?,1113,nonisland
99,127,,filler_bad,NA,27,0.04,What did seem the girl that crying was in the hallway?,2029,
100,127,,filler_bad,NA,28,0.07,Who the bride during crying was the ceremony guests smiling did?,2026,
101,127,short,acceptability,18,29,0.75,Who discussed the claim that the delivery driver dropped the package on the street?,1182,island
102,127,,filler_good,NA,30,0.87,What did the mechanic replace in the engine?,2008,
103,127,,filler_good,NA,31,0.95,Who did Liam invite to the picnic?,2002,
104,127,long,acceptability,1,32,0.07,What did John discuss the claim that the bakery shop would serve tomorrow?,1011,island
105,127,,filler_good,NA,33,0.66,Where did the neighbors see the comet last night?,2007,
106,127,,filler_good,NA,34,0.8,Which movie did Carla watch on Friday?,2009,
107,127,short,acceptability,16,35,0.83,Who claimed that the author deleted a chapter from the final draft?,1164,nonisland
108,127,,filler_bad,NA,36,0.01,Who the doctor that nervous looked yesterday treated did?,2021,
109,127,,filler_bad,NA,37,0.1,What did the neighbor that barking dog kept complain about nobody?,2020,
110,127,short,acceptability,6,38,0.78,Who discussed the claim that the babysitter forgot to pick up the children after school?,1062,island
111,127,,filler_bad,NA,39,0.1,Why the waiter spilled was everyone the coffee laughing?,2031,
112,127,,filler_good,NA,40,0.87,Whose jacket did Alex find in the library?,2011,
113,127,short,acceptability,17,41,0.82,Who claimed that the secretary sent the report to the wrong department?,1174,nonisland
114,127,,filler_bad,NA,42,0.07,Who did the chair that broken completely sat on the chair?,2023,
115,127,,filler_good,NA,43,0.89,Which book did Maya finish last night?,2003,
116,127,long,acceptability,19,44,0.1,What did Megan discuss the claim that the company released ahead of schedule?,1191,island
117,127,,filler_good,NA,45,0.93,When did the train leave the station?,2013,
118,127,,filler_bad,NA,46,0.07,Why the pilot said turbulence during was everyone panicking?,2024,
119,127,long,acceptability,7,47,0.89,What did Nora claim that the scientist discovered in the final experiment?,1073,nonisland
120,127,,filler_good,NA,48,0.93,Which song did the band play as an encore?,2012,
121,127,,filler_bad,NA,49,0.05,What the tourists taking photos were of shouting did confuse?,2018,
122,127,long,acceptability,20,50,0.88,What did the landlord claim that the plumber fixed before the inspection?,1203,nonisland
123,127,,filler_bad,NA,51,0.05,Who the manager said forgot did the keys actually?,2030,
124,127,,filler_good,NA,52,0.87,Which cookies did the baker put on the tray?,2014,
125,127,short,acceptability,13,53,0.7,Who discussed the claim that the reporter misquoted the politician in the article?,1132,island
126,127,,filler_good,NA,54,0.95,Who did the coach choose as captain?,2015,
127,127,,filler_good,NA,55,0.95,Where did the hikers set up their tent?,2010,
128,127,short,acceptability,14,56,0.91,Who claimed that the chef added too much salt to the soup by mistake?,1144,nonisland
129,127,,filler_bad,NA,57,0.07,Which song that the band to rehearsed never finished was?,2032,
130,127,,filler_bad,NA,58,0.08,Which restaurant the friends to last summer went closing is now did?,2025,
131,127,long,acceptability,4,59,0.27,What did Michael discuss the claim that the mechanic fixed after the accident?,1041,island
132,127,,filler_good,NA,60,0.96,What did the cat knock off the shelf?,2016,
133,127,,filler_good,NA,61,0.95,Which picture did the curator hang in the gallery?,2006,
134,127,short,acceptability,2,62,0.94,Who claimed that the cat knocked over the vase?,1024,nonisland
135,127,,filler_bad,NA,63,0,What the letter that important very was mailed nobody did?,2028,
136,127,,filler_bad,NA,64,0.1,Where the suitcase that broken handle had left was did you?,2027,
137,127,long,acceptability,12,65,0.42,What did the manager discuss the claim that the café overcharged for coffee?,1121,island
138,127,,filler_bad,NA,66,0.11,Why did raining was when the kids outside played?,2022,
139,127,,filler_good,NA,67,0.97,What did Wendy bake for the party?,2001,
140,127,long,acceptability,5,68,0.85,What did Emma claim that the neighbor played after midnight?,1053,nonisland
141,127,,filler_good,NA,69,0.94,Where did the children hide the treasure?,2004,
142,127,,filler_good,NA,70,0.91,What did the barista spill on the counter?,2005,
143,127,short,acceptability,24,71,0.04,Who discussed the claim that the committee rejected the proposal without review?,1242,island
144,127,,filler_bad,NA,72,0.09,Who did the rumor that dancing liked nobody believe?,2017,
145,38,,filler_bad,NA,25,0.01,Who the doctor that nervous looked yesterday treated did?,2021,
146,38,short,acceptability,19,26,0.73,Who claimed that the company released the new software ahead of schedule?,1194,nonisland
147,38,,filler_bad,NA,27,0.02,What the tourists taking photos were of shouting did confuse?,2018,
148,38,,filler_bad,NA,28,0,Why did raining was when the kids outside played?,2022,
149,38,long,acceptability,10,29,0.96,What did the curator claim that the museum restored?,1103,nonisland
150,38,,filler_good,NA,30,0.98,Which song did the band play as an encore?,2012,
151,38,,filler_bad,NA,31,0.02,What did the neighbor that barking dog kept complain about nobody?,2020,
152,38,long,acceptability,11,32,0.04,What did Amy discuss the claim that the gardener planted near the fence?,1111,island
153,38,,filler_good,NA,33,0.97,Which movie did Carla watch on Friday?,2009,
154,38,,filler_good,NA,34,0.99,Which book did Maya finish last night?,2003,
155,38,short,acceptability,6,35,0.86,Who discussed the claim that the babysitter forgot to pick up the children after school?,1062,island
156,38,,filler_good,NA,36,0.98,When did the train leave the station?,2013,
157,38,,filler_bad,NA,37,0,Who did the rumor that dancing liked nobody believe?,2017,
158,38,short,acceptability,16,38,0.96,Who claimed that the author deleted a chapter from the final draft?,1164,nonisland
159,38,,filler_good,NA,39,0.97,Whose jacket did Alex find in the library?,2011,
160,38,,filler_bad,NA,40,0.03,Who did the chair that broken completely sat on the chair?,2023,
161,38,long,acceptability,3,41,0.03,What did David claim that the airline canceled?,1033,nonisland
162,38,,filler_good,NA,42,1,Where did the neighbors see the comet last night?,2007,
163,38,,filler_bad,NA,43,0.02,Who the bride during crying was the ceremony guests smiling did?,2026,
164,38,long,acceptability,22,44,0.02,What did Ethan discuss the claim that the scientist developed in the new lab?,1221,island
165,38,,filler_good,NA,45,0.99,What did the barista spill on the counter?,2005,
166,38,,filler_bad,NA,46,0.03,When the cat jumped that scared loudly the child was?,2019,
167,38,short,acceptability,7,47,0.84,Who discussed the claim that the scientist discovered an error in the final experiment?,1072,island
168,38,,filler_good,NA,48,1,Who did the coach choose as captain?,2015,
169,38,,filler_good,NA,49,0.98,What did the mechanic replace in the engine?,2008,
170,38,short,acceptability,23,50,0.97,Who claimed that the lawyer filed the report too late?,1234,nonisland
171,38,,filler_good,NA,51,0.99,Where did the hikers set up their tent?,2010,
172,38,,filler_good,NA,52,0.98,What did Wendy bake for the party?,2001,
173,38,short,acceptability,18,53,0.9,Who discussed the claim that the delivery driver dropped the package on the street?,1182,island
174,38,,filler_bad,NA,54,0.01,Why the waiter spilled was everyone the coffee laughing?,2031,
175,38,,filler_bad,NA,55,0.02,Who the manager said forgot did the keys actually?,2030,
176,38,long,acceptability,17,56,0.04,What did Olivia claim that the secretary sent to the wrong department?,1173,nonisland
177,38,,filler_bad,NA,57,0.03,Why the pilot said turbulence during was everyone panicking?,2024,
178,38,,filler_good,NA,58,0.97,Which cookies did the baker put on the tray?,2014,
179,38,long,acceptability,1,59,0.06,What did John discuss the claim that the bakery shop would serve tomorrow?,1011,island
180,38,,filler_bad,NA,60,0.05,Which restaurant the friends to last summer went closing is now did?,2025,
181,38,,filler_good,NA,61,0.99,Which picture did the curator hang in the gallery?,2006,
182,38,long,acceptability,13,62,0.95,What did Laura claim that the reporter misquoted in the article?,1133,nonisland
183,38,,filler_bad,NA,63,0.02,What did seem the girl that crying was in the hallway?,2029,
184,38,,filler_bad,NA,64,0.04,Which song that the band to rehearsed never finished was?,2032,
185,38,short,acceptability,8,65,0.83,Who discussed the claim that the bus driver skipped several stops during the morning route?,1082,island
186,38,,filler_good,NA,66,0.97,Who did Liam invite to the picnic?,2002,
187,38,,filler_bad,NA,67,0.03,What the letter that important very was mailed nobody did?,2028,
188,38,long,acceptability,9,68,0.22,What did Grace discuss the claim that the nurse gave to a patient?,1091,island
189,38,,filler_good,NA,69,0.97,What did the cat knock off the shelf?,2016,
190,38,,filler_bad,NA,70,0.02,Where the suitcase that broken handle had left was did you?,2027,
191,38,short,acceptability,14,71,0.96,Who claimed that the chef added too much salt to the soup by mistake?,1144,nonisland
192,38,,filler_good,NA,72,0.98,Where did the children hide the treasure?,2004,
193,24,,filler_bad,NA,25,0.03,Which restaurant the friends to last summer went closing is now did?,2025,
194,24,short,acceptability,8,26,0.97,Who claimed that the bus driver skipped several stops during the morning route?,1084,nonisland
195,24,,filler_good,NA,27,0.97,Which book did Maya finish last night?,2003,
196,24,,filler_good,NA,28,0.96,What did the barista spill on the counter?,2005,
197,24,short,acceptability,10,29,0.98,Who discussed the claim that the museum restored the painting?,1102,island
198,24,,filler_good,NA,30,0.98,Which song did the band play as an encore?,2012,
199,24,,filler_bad,NA,31,0.03,Who did the chair that broken completely sat on the chair?,2023,
200,24,long,acceptability,1,32,0.09,What did John discuss the claim that the bakery shop would serve tomorrow?,1011,island
201,24,,filler_bad,NA,33,0.02,Who did the rumor that dancing liked nobody believe?,2017,
202,24,,filler_bad,NA,34,0.01,Which song that the band to rehearsed never finished was?,2032,
203,24,long,acceptability,22,35,0.01,What did Ethan claim that the scientist developed in the new lab?,1223,nonisland
204,24,,filler_good,NA,36,0.96,Who did Liam invite to the picnic?,2002,
205,24,,filler_bad,NA,37,0.02,Why did raining was when the kids outside played?,2022,
206,24,short,acceptability,14,38,0.94,Who discussed the claim that the chef added too much salt to the soup by mistake?,1142,island
207,24,,filler_bad,NA,39,0.03,What the tourists taking photos were of shouting did confuse?,2018,
208,24,,filler_bad,NA,40,0.02,What did the neighbor that barking dog kept complain about nobody?,2020,
209,24,short,acceptability,4,41,0.94,Who claimed that the mechanic fixed the car after the accident?,1044,nonisland
210,24,,filler_bad,NA,42,0.05,Why the waiter spilled was everyone the coffee laughing?,2031,
211,24,,filler_good,NA,43,0.97,What did the cat knock off the shelf?,2016,
212,24,long,acceptability,12,44,0.37,What did the manager claim that the café overcharged for coffee?,1123,nonisland
213,24,,filler_good,NA,45,0.95,What did Wendy bake for the party?,2001,
214,24,,filler_good,NA,46,0.96,Whose jacket did Alex find in the library?,2011,
215,24,long,acceptability,3,47,0.03,What did David discuss the claim that the airline canceled?,1031,island
216,24,,filler_good,NA,48,0.96,Which cookies did the baker put on the tray?,2014,
217,24,,filler_good,NA,49,0.8,Where did the neighbors see the comet last night?,2007,
218,24,long,acceptability,20,50,0.9,What did the landlord claim that the plumber fixed before the inspection?,1203,nonisland
219,24,,filler_bad,NA,51,0.05,Where the suitcase that broken handle had left was did you?,2027,
220,24,,filler_good,NA,52,0.97,Which picture did the curator hang in the gallery?,2006,
221,24,short,acceptability,6,53,0.96,Who claimed that the babysitter forgot to pick up the children after school?,1064,nonisland
222,24,,filler_good,NA,54,0.98,When did the train leave the station?,2013,
223,24,,filler_bad,NA,55,0.03,Who the bride during crying was the ceremony guests smiling did?,2026,
224,24,long,acceptability,23,56,0.03,What did Hannah discuss the claim that the lawyer filed too late?,1231,island
225,24,,filler_bad,NA,57,0.03,Why the pilot said turbulence during was everyone panicking?,2024,
226,24,,filler_bad,NA,58,0.02,When the cat jumped that scared loudly the child was?,2019,
227,24,short,acceptability,11,59,0.94,Who discussed the claim that the gardener planted flowers near the fence?,1112,island
228,24,,filler_good,NA,60,0.97,Where did the children hide the treasure?,2004,
229,24,,filler_bad,NA,61,0.04,What did seem the girl that crying was in the hallway?,2029,
230,24,long,acceptability,21,62,0.23,What did Chloe discuss the claim that the chef burned during the dinner service?,1211,island
231,24,,filler_good,NA,63,0.97,Which movie did Carla watch on Friday?,2009,
232,24,,filler_bad,NA,64,0.03,What the letter that important very was mailed nobody did?,2028,
233,24,long,acceptability,16,65,0.95,What did Thomas claim that the author deleted from the final draft?,1163,nonisland
234,24,,filler_good,NA,66,0.59,What did the mechanic replace in the engine?,2008,
235,24,,filler_good,NA,67,1,Who did the coach choose as captain?,2015,
236,24,short,acceptability,15,68,0.95,Who claimed that the photographer lost the camera during the trip?,1154,nonisland
237,24,,filler_bad,NA,69,0.02,Who the manager said forgot did the keys actually?,2030,
238,24,,filler_good,NA,70,0.97,Where did the hikers set up their tent?,2010,
239,24,short,acceptability,24,71,0.98,Who discussed the claim that the committee rejected the proposal without review?,1242,island
240,24,,filler_bad,NA,72,0.04,Who the doctor that nervous looked yesterday treated did?,2021,
241,318,,filler_good,NA,25,0.99,Which cookies did the baker put on the tray?,2014,
242,318,long,acceptability,8,26,0.77,What did Liam claim that the bus driver skipped during the morning route?,1083,nonisland
243,318,,filler_bad,NA,27,0.02,Why the waiter spilled was everyone the coffee laughing?,2031,
244,318,,filler_good,NA,28,1,Who did Liam invite to the picnic?,2002,
245,318,long,acceptability,10,29,0.21,What did the curator discuss the claim that the museum restored?,1101,island
246,318,,filler_bad,NA,30,0.01,Who the doctor that nervous looked yesterday treated did?,2021,
247,318,,filler_bad,NA,31,0.01,Where the suitcase that broken handle had left was did you?,2027,
248,318,short,acceptability,20,32,0.99,Who claimed that the plumber fixed the leak before the inspection?,1204,nonisland
249,318,,filler_bad,NA,33,0,Who the bride during crying was the ceremony guests smiling did?,2026,
250,318,,filler_good,NA,34,0.99,Where did the hikers set up their tent?,2010,
251,318,short,acceptability,24,35,0.97,Who discussed the claim that the committee rejected the proposal without review?,1242,island
252,318,,filler_good,NA,36,0.98,What did the barista spill on the counter?,2005,
253,318,,filler_bad,NA,37,0,Why the pilot said turbulence during was everyone panicking?,2024,
254,318,long,acceptability,16,38,0.33,What did Thomas discuss the claim that the author deleted from the final draft?,1161,island
255,318,,filler_bad,NA,39,0,Who the manager said forgot did the keys actually?,2030,
256,318,,filler_bad,NA,40,0.02,When the cat jumped that scared loudly the child was?,2019,
257,318,long,acceptability,13,41,1,What did Laura claim that the reporter misquoted in the article?,1133,nonisland
258,318,,filler_good,NA,42,0.97,What did the cat knock off the shelf?,2016,
259,318,,filler_good,NA,43,0.98,What did the mechanic replace in the engine?,2008,
260,318,short,acceptability,9,44,0.97,Who discussed the claim that the nurse gave the wrong medication to a patient?,1092,island
261,318,,filler_bad,NA,45,0.01,Why did raining was when the kids outside played?,2022,
262,318,,filler_good,NA,46,0.99,Where did the children hide the treasure?,2004,
263,318,short,acceptability,5,47,0.98,Who claimed that the neighbor played loud music after midnight?,1054,nonisland
264,318,,filler_good,NA,48,0.96,Where did the neighbors see the comet last night?,2007,
265,318,,filler_good,NA,49,0.99,Whose jacket did Alex find in the library?,2011,
266,318,long,acceptability,22,50,0.41,What did Ethan discuss the claim that the scientist developed in the new lab?,1221,island
267,318,,filler_bad,NA,51,0,Who did the rumor that dancing liked nobody believe?,2017,
268,318,,filler_bad,NA,52,0.02,What did the neighbor that barking dog kept complain about nobody?,2020,
269,318,short,acceptability,23,53,0.99,Who claimed that the lawyer filed the report too late?,1234,nonisland
270,318,,filler_good,NA,54,0.99,Which book did Maya finish last night?,2003,
271,318,,filler_bad,NA,55,0.02,Who did the chair that broken completely sat on the chair?,2023,
272,318,long,acceptability,7,56,1,What did Nora claim that the scientist discovered in the final experiment?,1073,nonisland
273,318,,filler_good,NA,57,1,Which movie did Carla watch on Friday?,2009,
274,318,,filler_bad,NA,58,0.02,What did seem the girl that crying was in the hallway?,2029,
275,318,short,acceptability,4,59,0.99,Who discussed the claim that the mechanic fixed the car after the accident?,1042,island
276,318,,filler_good,NA,60,0.99,What did Wendy bake for the party?,2001,
277,318,,filler_good,NA,61,1,When did the train leave the station?,2013,
278,318,long,acceptability,14,62,1,What did Kevin claim that the chef added to the soup by mistake?,1143,nonisland
279,318,,filler_bad,NA,63,0.01,What the letter that important very was mailed nobody did?,2028,
280,318,,filler_good,NA,64,0.99,Which song did the band play as an encore?,2012,
281,318,short,acceptability,17,65,0.98,Who claimed that the secretary sent the report to the wrong department?,1174,nonisland
282,318,,filler_bad,NA,66,0.08,Which song that the band to rehearsed never finished was?,2032,
283,318,,filler_good,NA,67,0.99,Who did the coach choose as captain?,2015,
284,318,long,acceptability,19,68,0.98,What did Megan discuss the claim that the company released ahead of schedule?,1191,island
285,318,,filler_bad,NA,69,0,What the tourists taking photos were of shouting did confuse?,2018,
286,318,,filler_good,NA,70,0.98,Which picture did the curator hang in the gallery?,2006,
287,318,short,acceptability,2,71,0.98,Who discussed the claim that the cat knocked over the vase?,1022,island
288,318,,filler_bad,NA,72,0.02,Which restaurant the friends to last summer went closing is now did?,2025,
289,300,,filler_good,NA,25,0.89,Which song did the band play as an encore?,2012,
290,300,long,acceptability,9,26,0.53,What did Grace claim that the nurse gave to a patient?,1093,nonisland
291,300,,filler_bad,NA,27,0.01,Who did the chair that broken completely sat on the chair?,2023,
292,300,,filler_good,NA,28,0.93,What did the mechanic replace in the engine?,2008,
293,300,short,acceptability,23,29,0.88,Who claimed that the lawyer filed the report too late?,1234,nonisland
294,300,,filler_good,NA,30,0.96,What did the barista spill on the counter?,2005,
295,300,,filler_bad,NA,31,0.04,Which song that the band to rehearsed never finished was?,2032,
296,300,long,acceptability,16,32,0.05,What did Thomas discuss the claim that the author deleted from the final draft?,1161,island
297,300,,filler_bad,NA,33,0.04,Who the manager said forgot did the keys actually?,2030,
298,300,,filler_bad,NA,34,0.05,What did seem the girl that crying was in the hallway?,2029,
299,300,short,acceptability,7,35,1,Who discussed the claim that the scientist discovered an error in the final experiment?,1072,island
300,300,,filler_good,NA,36,0.96,Who did Liam invite to the picnic?,2002,
301,300,,filler_bad,NA,37,0.04,What the tourists taking photos were of shouting did confuse?,2018,
302,300,short,acceptability,8,38,0.98,Who claimed that the bus driver skipped several stops during the morning route?,1084,nonisland
303,300,,filler_bad,NA,39,0.05,What the letter that important very was mailed nobody did?,2028,
304,300,,filler_bad,NA,40,0.02,Where the suitcase that broken handle had left was did you?,2027,
305,300,short,acceptability,19,41,0.94,Who discussed the claim that the company released the new software ahead of schedule?,1192,island
306,300,,filler_bad,NA,42,0,Why the waiter spilled was everyone the coffee laughing?,2031,
307,300,,filler_good,NA,43,0.99,What did the cat knock off the shelf?,2016,
308,300,long,acceptability,24,44,0.45,What did Jason discuss the claim that the committee rejected without review?,1241,island
309,300,,filler_good,NA,45,0.7,What did Wendy bake for the party?,2001,
310,300,,filler_good,NA,46,0.99,Where did the hikers set up their tent?,2010,
311,300,long,acceptability,11,47,0.98,What did Amy claim that the gardener planted near the fence?,1113,nonisland
312,300,,filler_good,NA,48,1,Which picture did the curator hang in the gallery?,2006,
313,300,,filler_bad,NA,49,0.02,Who the bride during crying was the ceremony guests smiling did?,2026,
314,300,short,acceptability,17,50,0.95,Who claimed that the secretary sent the report to the wrong department?,1174,nonisland
315,300,,filler_good,NA,51,0.85,Where did the neighbors see the comet last night?,2007,
316,300,,filler_bad,NA,52,0.03,What did the neighbor that barking dog kept complain about nobody?,2020,
317,300,short,acceptability,1,53,0.97,Who discussed the claim that the bakery shop would serve donuts tomorrow?,1012,island
318,300,,filler_good,NA,54,0.6,Which book did Maya finish last night?,2003,
319,300,,filler_bad,NA,55,0.02,Which restaurant the friends to last summer went closing is now did?,2025,
320,300,long,acceptability,6,56,0.4,What did Julia discuss the claim that the babysitter forgot to pick up after school?,1061,island
321,300,,filler_bad,NA,57,0.01,When the cat jumped that scared loudly the child was?,2019,
322,300,,filler_good,NA,58,0.97,Which cookies did the baker put on the tray?,2014,
323,300,long,acceptability,12,59,0.51,What did the manager claim that the café overcharged for coffee?,1123,nonisland
324,300,,filler_good,NA,60,0.99,Who did the coach choose as captain?,2015,
325,300,,filler_bad,NA,61,0.02,Who did the rumor that dancing liked nobody believe?,2017,
326,300,short,acceptability,22,62,0.72,Who discussed the claim that the scientist developed a vaccine in the new lab?,1222,island
