,workerid,is_filler,lexicalization,order,polarity,question,response,sentence,sentence_id,structure,trial_type
33,180,1,NA,18,negated,Were there new books on the shelf?,0.49,The librarian didn't organize the new books on the shelf.,3011,,negation_pre
34,180,1,NA,20,negated,Was there a rare bird near the lake?,0.5,The hikers didn't catch the rare bird near the lake.,3014,,negation_pre
35,180,0,13,22,negated,Was there a claim that the reporter misquoted the politician in the article?,0.63,Laura didn’t discuss the claim that the reporter misquoted the politician in the article.,1136,,negation_pre
36,180,1,NA,24,negated,Were there lecture slides online?,0.84,The professor didn't update the lecture slides online.,3016,,negation_pre
37,180,1,NA,74,negated,Was there a heavy suitcase?,0.49,Christine didn't buy the heavy suitcase.,3028,,negation_post
38,180,0,3,76,base,Was there a claim that the airline canceled the morning flight to Chicago?,0.81,David discussed the claim that the airline canceled the morning flight to Chicago.,1035,,negation_post
39,180,1,NA,78,base,Was there silver jewelry in the display case?,1,Maria polished the silver jewelry in the display case.,3021,,negation_post
40,180,1,NA,80,negated,Were there confidential folders in the archive?,0.49,The assistant didn't label the confidential folders in the archive.,3030,,negation_post
41,180,0,5,82,negated,Was there a claim that the neighbor played loud music after midnight?,0.66,Emma didn’t discuss the claim that the neighbor played loud music after midnight.,1056,,negation_post
42,180,1,NA,84,negated,Was there a missing wallet under the table?,0.19,Frank didn't find the missing wallet under the table.,3031,,negation_post
43,180,1,NA,86,negated,Were there important documents in the office?,0.51,The journalist didn't review the important documents in the office.,3025,,negation_post
44,180,0,1,88,base,Was there a claim that the bakery shop would serve donuts tomorrow?,0.75,John discussed the claim that the bakery shop would serve donuts tomorrow.,1015,,negation_post
45,180,1,NA,90,base,Was there a practice field for the team?,0.66,The coach reserved the practice field for the team.,3019,,negation_post
46,180,1,NA,92,base,Was there an old piano in the practice hall?,1,The musician tuned the old piano in the practice hall.,3018,,negation_post
47,180,0,2,94,negated,Was there a claim that the cat knocked over the vase?,0.79,Katie didn’t discuss the claim that the cat knocked over the vase.,1026,,negation_post
48,180,1,NA,96,base,Were there returned packages at the counter?,0.86,The clerk sorted the returned packages at the counter.,3024,,negation_post
49,127,1,NA,2,base,Were there fresh vegetables at the supermarket?,0.95,Emily bought fresh vegetables at the supermarket.,3002,,negation_pre
50,127,0,8,4,negated,Was there a claim that the bus driver skipped several stops during the morning route?,0.78,Liam didn’t discuss the claim that the bus driver skipped several stops during the morning route.,1086,,negation_pre
51,127,1,NA,6,negated,Was there an ancient statue?,0.85,Ben didn't take pictures of the ancient statue.,3015,,negation_pre
52,127,1,NA,8,base,Was there a rare bird near the lake?,0.81,The hikers caught the rare bird near the lake.,3006,,negation_pre
53,127,0,22,10,negated,Was there a claim that the scientist developed a vaccine in the new lab?,0.55,Ethan didn’t discuss the claim that the scientist developed a vaccine in the new lab.,1226,,negation_pre
54,127,1,NA,12,base,Was there a new schedule on the board?,0.25,The teacher posted the new schedule on the board.,3005,,negation_pre
55,127,1,NA,14,negated,Were there plants on the balcony?,0.47,Anna didn't water the plants on the balcony.,3012,,negation_pre
56,127,0,3,16,base,Was there a claim that the airline canceled the morning flight to Chicago?,0.62,David discussed the claim that the airline canceled the morning flight to Chicago.,1035,,negation_pre
57,127,1,NA,18,negated,Were there lecture slides online?,0.6,The professor didn't update the lecture slides online.,3016,,negation_pre
58,127,1,NA,20,base,Was there a new history book in the library?,0.72,The student read the new history book in the library.,3001,,negation_pre
59,127,0,15,22,base,Was there a claim that the photographer lost the camera during the trip?,0.89,Rachel discussed the claim that the photographer lost the camera during the trip.,1155,,negation_pre
60,127,1,NA,24,negated,Were there new books on the shelf?,0.53,The librarian didn't organize the new books on the shelf.,3011,,negation_pre
61,127,1,NA,74,negated,Were there returned packages at the counter?,0.8,The clerk didn't sort the returned packages at the counter.,3032,,negation_post
62,127,0,23,76,base,Was there a claim that the lawyer filed the report too late?,0.72,Hannah discussed the claim that the lawyer filed the report too late.,1235,,negation_post
63,127,1,NA,78,negated,Was there silver jewelry in the display case?,0.79,Maria didn't polish the silver jewelry in the display case.,3029,,negation_post
64,127,1,NA,80,negated,Was there a practice field for the team?,0.8,The coach didn't reserve the practice field for the team.,3027,,negation_post
65,127,0,9,82,base,Was there a claim that the nurse gave the wrong medication to a patient?,0.82,Grace discussed the claim that the nurse gave the wrong medication to a patient.,1095,,negation_post
66,127,1,NA,84,base,Was there a heavy suitcase?,0.75,Christine bought the heavy suitcase.,3020,,negation_post
67,127,1,NA,86,base,Were there important documents in the office?,0.85,The journalist reviewed the important documents in the office.,3017,,negation_post
68,127,0,10,88,negated,Was there a claim that the museum restored the painting?,0.56,The curator didn’t discuss the claim that the museum restored the painting.,1106,,negation_post
69,127,1,NA,90,base,Were there confidential folders in the archive?,0.92,The assistant labeled the confidential folders in the archive.,3022,,negation_post
70,127,1,NA,92,base,Was there a missing wallet under the table?,0.92,Frank found the missing wallet under the table.,3023,,negation_post
71,127,0,21,94,negated,Was there a claim that the chef burned the steak during the dinner service?,0.75,Chloe didn’t discuss the claim that the chef burned the steak during the dinner service.,1216,,negation_post
72,127,1,NA,96,negated,Was there an old piano in the practice hall?,0.67,The musician didn't tune the old piano in the practice hall.,3026,,negation_post
73,38,1,NA,2,base,Were there lecture slides online?,0.97,The professor updated the lecture slides online.,3008,,negation_pre
74,38,0,2,4,negated,Was there a claim that the cat knocked over the vase?,0.93,Katie didn’t discuss the claim that the cat knocked over the vase.,1026,,negation_pre
75,38,1,NA,6,base,Was there an ancient statue?,0.99,Ben took pictures of the ancient statue.,3007,,negation_pre
76,38,1,NA,8,negated,Were there plants on the balcony?,0.98,Anna didn't water the plants on the balcony.,3012,,negation_pre
77,38,0,15,10,base,Was there a claim that the photographer lost the camera during the trip?,0.98,Rachel discussed the claim that the photographer lost the camera during the trip.,1155,,negation_pre
78,38,1,NA,12,base,Were there new books on the shelf?,0.98,The librarian organized the new books on the shelf.,3003,,negation_pre
79,38,1,NA,14,negated,Was there a new schedule on the board?,0.03,The teacher didn't post the new schedule on the board.,3013,,negation_pre
80,38,0,20,16,base,Was there a claim that the plumber fixed the leak before the inspection?,0.91,The landlord discussed the claim that the plumber fixed the leak before the inspection.,1205,,negation_pre
81,38,1,NA,18,negated,Were there fresh vegetables at the supermarket?,0.49,Emily didn't buy fresh vegetables at the supermarket.,3010,,negation_pre
82,38,1,NA,20,base,Was there a rare bird near the lake?,0.99,The hikers caught the rare bird near the lake.,3006,,negation_pre
83,38,0,12,22,negated,Was there a claim that the café overcharged the customer for coffee?,0.95,The manager didn’t discuss the claim that the café overcharged the customer for coffee.,1126,,negation_pre
84,38,1,NA,24,negated,Was there a new history book in the library?,0.5,The student didn't read the new history book in the library.,3009,,negation_pre
85,38,1,NA,74,base,Were there important documents in the office?,0.97,The journalist reviewed the important documents in the office.,3017,,negation_post
86,38,0,5,76,negated,Was there a claim that the neighbor played loud music after midnight?,0.96,Emma didn’t discuss the claim that the neighbor played loud music after midnight.,1056,,negation_post
87,38,1,NA,78,base,Were there confidential folders in the archive?,0.98,The assistant labeled the confidential folders in the archive.,3022,,negation_post
88,38,1,NA,80,negated,Was there an old piano in the practice hall?,0.53,The musician didn't tune the old piano in the practice hall.,3026,,negation_post
89,38,0,21,82,negated,Was there a claim that the chef burned the steak during the dinner service?,0.96,Chloe didn’t discuss the claim that the chef burned the steak during the dinner service.,1216,,negation_post
90,38,1,NA,84,negated,Was there silver jewelry in the display case?,0.78,Maria didn't polish the silver jewelry in the display case.,3029,,negation_post
91,38,1,NA,86,base,Was there a heavy suitcase?,0.99,Christine bought the heavy suitcase.,3020,,negation_post
92,38,0,4,88,base,Was there a claim that the mechanic fixed the car after the accident?,0.95,Michael discussed the claim that the mechanic fixed the car after the accident.,1045,,negation_post
93,38,1,NA,90,negated,Was there a missing wallet under the table?,0.34,Frank didn't find the missing wallet under the table.,3031,,negation_post
94,38,1,NA,92,base,Was there a practice field for the team?,0.98,The coach reserved the practice field for the team.,3019,,negation_post
95,38,0,24,94,base,Was there a claim that the committee rejected the proposal without review?,0.95,Jason discussed the claim that the committee rejected the proposal without review.,1245,,negation_post
96,38,1,NA,96,negated,Were there returned packages at the counter?,0.46,The clerk didn't sort the returned packages at the counter.,3032,,negation_post
97,24,1,NA,2,negated,Were there new books on the shelf?,0.99,The librarian didn't organize the new books on the shelf.,3011,,negation_pre
98,24,0,13,4,negated,Was there a claim that the reporter misquoted the politician in the article?,0.9,Laura didn’t discuss the claim that the reporter misquoted the politician in the article.,1136,,negation_pre
99,24,1,NA,6,negated,Were there lecture slides online?,0.99,The professor didn't update the lecture slides online.,3016,,negation_pre
100,24,1,NA,8,base,Were there fresh vegetables at the supermarket?,0.98,Emily bought fresh vegetables at the supermarket.,3002,,negation_pre
101,24,0,5,10,base,Was there a claim that the neighbor played loud music after midnight?,1,Emma discussed the claim that the neighbor played loud music after midnight.,1055,,negation_pre
102,24,1,NA,12,negated,Was there a new history book in the library?,0.98,The student didn't read the new history book in the library.,3009,,negation_pre
103,24,1,NA,14,base,Was there a new schedule on the board?,0.97,The teacher posted the new schedule on the board.,3005,,negation_pre
104,24,0,7,16,negated,Was there a claim that the scientist discovered an error in the final experiment?,0.93,Nora didn’t discuss the claim that the scientist discovered an error in the final experiment.,1076,,negation_pre
105,24,1,NA,18,base,Was there a rare bird near the lake?,0.95,The hikers caught the rare bird near the lake.,3006,,negation_pre
106,24,1,NA,20,base,Was there an ancient statue?,0.95,Ben took pictures of the ancient statue.,3007,,negation_pre
107,24,0,19,22,base,Was there a claim that the company released the new software ahead of schedule?,0.99,Megan discussed the claim that the company released the new software ahead of schedule.,1195,,negation_pre
108,24,1,NA,24,negated,Were there plants on the balcony?,0.97,Anna didn't water the plants on the balcony.,3012,,negation_pre
109,24,1,NA,74,base,Were there confidential folders in the archive?,0.97,The assistant labeled the confidential folders in the archive.,3022,,negation_post
110,24,0,17,76,negated,Was there a claim that the secretary sent the report to the wrong department?,0.87,Olivia didn’t discuss the claim that the secretary sent the report to the wrong department.,1176,,negation_post
111,24,1,NA,78,negated,Was there a missing wallet under the table?,0.4,Frank didn't find the missing wallet under the table.,3031,,negation_post
112,24,1,NA,80,base,Was there a heavy suitcase?,0.96,Christine bought the heavy suitcase.,3020,,negation_post
113,24,0,9,82,base,Was there a claim that the nurse gave the wrong medication to a patient?,0.91,Grace discussed the claim that the nurse gave the wrong medication to a patient.,1095,,negation_post
114,24,1,NA,84,negated,Was there a practice field for the team?,0.95,The coach didn't reserve the practice field for the team.,3027,,negation_post
115,24,1,NA,86,negated,Were there important documents in the office?,0.97,The journalist didn't review the important documents in the office.,3025,,negation_post
116,24,0,18,88,negated,Was there a claim that the delivery driver dropped the package on the street?,0.96,Ben didn’t discuss the claim that the delivery driver dropped the package on the street.,1186,,negation_post
117,24,1,NA,90,negated,Were there returned packages at the counter?,0.96,The clerk didn't sort the returned packages at the counter.,3032,,negation_post
118,24,1,NA,92,base,Was there an old piano in the practice hall?,0.96,The musician tuned the old piano in the practice hall.,3018,,negation_post
119,24,0,2,94,base,Was there a claim that the cat knocked over the vase?,0.96,Katie discussed the claim that the cat knocked over the vase.,1025,,negation_post
120,24,1,NA,96,base,Was there silver jewelry in the display case?,0.98,Maria polished the silver jewelry in the display case.,3021,,negation_post
121,318,1,NA,2,negated,Were there plants on the balcony?,0.97,Anna didn't water the plants on the balcony.,3012,,negation_pre
122,318,0,15,4,negated,Was there a claim that the photographer lost the camera during the trip?,1,Rachel didn’t discuss the claim that the photographer lost the camera during the trip.,1156,,negation_pre
123,318,1,NA,6,base,Was there an ancient statue?,0.97,Ben took pictures of the ancient statue.,3007,,negation_pre
124,318,1,NA,8,base,Was there a new schedule on the board?,0.98,The teacher posted the new schedule on the board.,3005,,negation_pre
125,318,0,6,10,base,Was there a claim that the babysitter forgot to pick up the children after school?,0.75,Julia discussed the claim that the babysitter forgot to pick up the children after school.,1065,,negation_pre
126,318,1,NA,12,base,Were there new books on the shelf?,0.99,The librarian organized the new books on the shelf.,3003,,negation_pre
127,318,1,NA,14,negated,Was there a new history book in the library?,0.97,The student didn't read the new history book in the library.,3009,,negation_pre
128,318,0,11,16,negated,Was there a claim that the gardener planted flowers near the fence?,1,Amy didn’t discuss the claim that the gardener planted flowers near the fence.,1116,,negation_pre
129,318,1,NA,18,base,Were there fresh vegetables at the supermarket?,1,Emily bought fresh vegetables at the supermarket.,3002,,negation_pre
130,318,1,NA,20,negated,Was there a rare bird near the lake?,0.54,The hikers didn't catch the rare bird near the lake.,3014,,negation_pre
131,318,0,18,22,base,Was there a claim that the delivery driver dropped the package on the street?,0.98,Ben discussed the claim that the delivery driver dropped the package on the street.,1185,,negation_pre
132,318,1,NA,24,negated,Were there lecture slides online?,0.99,The professor didn't update the lecture slides online.,3016,,negation_pre
133,318,1,NA,74,base,Were there confidential folders in the archive?,0.97,The assistant labeled the confidential folders in the archive.,3022,,negation_post
134,318,0,21,76,negated,Was there a claim that the chef burned the steak during the dinner service?,0.85,Chloe didn’t discuss the claim that the chef burned the steak during the dinner service.,1216,,negation_post
135,318,1,NA,78,negated,Were there important documents in the office?,0.74,The journalist didn't review the important documents in the office.,3025,,negation_post
136,318,1,NA,80,base,Was there an old piano in the practice hall?,1,The musician tuned the old piano in the practice hall.,3018,,negation_post
137,318,0,3,82,base,Was there a claim that the airline canceled the morning flight to Chicago?,1,David discussed the claim that the airline canceled the morning flight to Chicago.,1035,,negation_post
138,318,1,NA,84,base,Was there a heavy suitcase?,0.98,Christine bought the heavy suitcase.,3020,,negation_post
139,318,1,NA,86,base,Was there silver jewelry in the display case?,0.98,Maria polished the silver jewelry in the display case.,3021,,negation_post
140,318,0,1,88,negated,Was there a claim that the bakery shop would serve donuts tomorrow?,0.86,John didn’t discuss the claim that the bakery shop would serve donuts tomorrow.,1016,,negation_post
141,318,1,NA,90,negated,Was there a practice field for the team?,0.75,The coach didn't reserve the practice field for the team.,3027,,negation_post
142,318,1,NA,92,negated,Was there a missing wallet under the table?,0.49,Frank didn't find the missing wallet under the table.,3031,,negation_post
143,318,0,12,94,base,Was there a claim that the café overcharged the customer for coffee?,1,The manager discussed the claim that the café overcharged the customer for coffee.,1125,,negation_post
144,318,1,NA,96,negated,Were there returned packages at the counter?,0.98,The clerk didn't sort the returned packages at the counter.,3032,,negation_post
145,300,1,NA,2,base,Was there an ancient statue?,0.98,Ben took pictures of the ancient statue.,3007,,negation_pre
146,300,0,10,4,negated,Was there a claim that the museum restored the painting?,0.96,The curator didn’t discuss the claim that the museum restored the painting.,1106,,negation_pre
147,300,1,NA,6,negated,Was there a new history book in the library?,0.94,The student didn't read the new history book in the library.,3009,,negation_pre
148,300,1,NA,8,base,Were there new books on the shelf?,0.98,The librarian organized the new books on the shelf.,3003,,negation_pre
149,300,0,2,10,base,Was there a claim that the cat knocked over the vase?,0.99,Katie discussed the claim that the cat knocked over the vase.,1025,,negation_pre
150,300,1,NA,12,negated,Were there lecture slides online?,0.99,The professor didn't update the lecture slides online.,3016,,negation_pre
151,300,1,NA,14,base,Were there fresh vegetables at the supermarket?,0.97,Emily bought fresh vegetables at the supermarket.,3002,,negation_pre
152,300,0,21,16,base,Was there a claim that the chef burned the steak during the dinner service?,0.99,Chloe discussed the claim that the chef burned the steak during the dinner service.,1215,,negation_pre
153,300,1,NA,18,base,Was there a new schedule on the board?,0.96,The teacher posted the new schedule on the board.,3005,,negation_pre
154,300,1,NA,20,negated,Were there plants on the balcony?,0.99,Anna didn't water the plants on the balcony.,3012,,negation_pre
155,300,0,18,22,negated,Was there a claim that the delivery driver dropped the package on the street?,0.75,Ben didn’t discuss the claim that the delivery driver dropped the package on the street.,1186,,negation_pre
156,300,1,NA,24,negated,Was there a rare bird near the lake?,0.96,The hikers didn't catch the rare bird near the lake.,3014,,negation_pre
157,300,1,NA,74,base,Were there important documents in the office?,0.97,The journalist reviewed the important documents in the office.,3017,,negation_post
158,300,0,5,76,base,Was there a claim that the neighbor played loud music after midnight?,1,Emma discussed the claim that the neighbor played loud music after midnight.,1055,,negation_post
159,300,1,NA,78,negated,Was there silver jewelry in the display case?,0.97,Maria didn't polish the silver jewelry in the display case.,3029,,negation_post
160,300,1,NA,80,negated,Were there confidential folders in the archive?,1,The assistant didn't label the confidential folders in the archive.,3030,,negation_post
161,300,0,3,82,negated,Was there a claim that the airline canceled the morning flight to Chicago?,0.99,David didn’t discuss the claim that the airline canceled the morning flight to Chicago.,1036,,negation_post
162,300,1,NA,84,base,Was there a practice field for the team?,0.99,The coach reserved the practice field for the team.,3019,,negation_post
163,300,1,NA,86,base,Was there a missing wallet under the table?,0.98,Frank found the missing wallet under the table.,3023,,negation_post
164,300,0,15,88,negated,Was there a claim that the photographer lost the camera during the trip?,1,Rachel didn’t discuss the claim that the photographer lost the camera during the trip.,1156,,negation_post
165,300,1,NA,90,negated,Were there returned packages at the counter?,0.98,The clerk didn't sort the returned packages at the counter.,3032,,negation_post
166,300,1,NA,92,negated,Was there an old piano in the practice hall?,0.98,The musician didn't tune the old piano in the practice hall.,3026,,negation_post
167,300,0,13,94,base,Was there a claim that the reporter misquoted the politician in the article?,1,Laura discussed the claim that the reporter misquoted the politician in the article.,1135,,negation_post
168,300,1,NA,96,base,Was there a heavy suitcase?,1,Christine bought the heavy suitcase.,3020,,negation_post
169,114,1,NA,2,negated,Was there a rare bird near the lake?,0.69,The hikers didn't catch the rare bird near the lake.,3014,,negation_pre
170,114,0,17,4,base,Was there a claim that the secretary sent the report to the wrong department?,0.94,Olivia discussed the claim that the secretary sent the report to the wrong department.,1175,,negation_pre
171,114,1,NA,6,negated,Was there an ancient statue?,0.89,Ben didn't take pictures of the ancient statue.,3015,,negation_pre
172,114,1,NA,8,base,Were there lecture slides online?,0.95,The professor updated the lecture slides online.,3008,,negation_pre
173,114,0,6,10,negated,Was there a claim that the babysitter forgot to pick up the children after school?,0.95,Julia didn’t discuss the claim that the babysitter forgot to pick up the children after school.,1066,,negation_pre
174,114,1,NA,12,negated,Were there new books on the shelf?,0.97,The librarian didn't organize the new books on the shelf.,3011,,negation_pre
175,114,1,NA,14,base,Was there a new schedule on the board?,0,The teacher posted the new schedule on the board.,3005,,negation_pre
176,114,0,16,16,base,Was there a claim that the author deleted a chapter from the final draft?,1,Thomas discussed the claim that the author deleted a chapter from the final draft.,1165,,negation_pre
177,114,1,NA,18,base,Were there plants on the balcony?,1,Anna watered the plants on the balcony.,3004,,negation_pre
178,114,1,NA,20,base,Were there fresh vegetables at the supermarket?,1,Emily bought fresh vegetables at the supermarket.,3002,,negation_pre
179,114,0,3,22,negated,Was there a claim that the airline canceled the morning flight to Chicago?,1,David didn’t discuss the claim that the airline canceled the morning flight to Chicago.,1036,,negation_pre
180,114,1,NA,24,negated,Was there a new history book in the library?,1,The student didn't read the new history book in the library.,3009,,negation_pre
181,114,1,NA,74,base,Was there a heavy suitcase?,1,Christine bought the heavy suitcase.,3020,,negation_post
182,114,0,19,76,negated,Was there a claim that the company released the new software ahead of schedule?,1,Megan didn’t discuss the claim that the company released the new software ahead of schedule.,1196,,negation_post
183,114,1,NA,78,negated,Were there returned packages at the counter?,1,The clerk didn't sort the returned packages at the counter.,3032,,negation_post
184,114,1,NA,80,negated,Was there a missing wallet under the table?,1,Frank didn't find the missing wallet under the table.,3031,,negation_post
185,114,0,23,82,base,Was there a claim that the lawyer filed the report too late?,0.49,Hannah discussed the claim that the lawyer filed the report too late.,1235,,negation_post
186,114,1,NA,84,base,Was there silver jewelry in the display case?,1,Maria polished the silver jewelry in the display case.,3021,,negation_post
187,114,1,NA,86,negated,Were there confidential folders in the archive?,1,The assistant didn't label the confidential folders in the archive.,3030,,negation_post
188,114,0,8,88,negated,Was there a claim that the bus driver skipped several stops during the morning route?,1,Liam didn’t discuss the claim that the bus driver skipped several stops during the morning route.,1086,,negation_post
189,114,1,NA,90,base,Were there important documents in the office?,1,The journalist reviewed the important documents in the office.,3017,,negation_post
190,114,1,NA,92,negated,Was there a practice field for the team?,0,The coach didn't reserve the practice field for the team.,3027,,negation_post
191,114,0,20,94,base,Was there a claim that the plumber fixed the leak before the inspection?,1,The landlord discussed the claim that the plumber fixed the leak before the inspection.,1205,,negation_post
192,114,1,NA,96,base,Was there an old piano in the practice hall?,1,The musician tuned the old piano in the practice hall.,3018,,negation_post
193,106,1,NA,2,negated,Were there lecture slides online?,1,The professor didn't update the lecture slides online.,3016,,negation_pre
194,106,0,4,4,base,Was there a claim that the mechanic fixed the car after the accident?,1,Michael discussed the claim that the mechanic fixed the car after the accident.,1045,,negation_pre
195,106,1,NA,6,negated,Was there a new schedule on the board?,0,The teacher didn't post the new schedule on the board.,3013,,negation_pre
196,106,1,NA,8,negated,Was there an ancient statue?,1,Ben didn't take pictures of the ancient statue.,3015,,negation_pre
197,106,0,10,10,negated,Was there a claim that the museum restored the painting?,0.86,The curator didn’t discuss the claim that the museum restored the painting.,1106,,negation_pre
198,106,1,NA,12,negated,Were there new books on the shelf?,1,The librarian didn't organize the new books on the shelf.,3011,,negation_pre
199,106,1,NA,14,base,Was there a rare bird near the lake?,1,The hikers caught the rare bird near the lake.,3006,,negation_pre
200,106,0,7,16,negated,Was there a claim that the scientist discovered an error in the final experiment?,0.87,Nora didn’t discuss the claim that the scientist discovered an error in the final experiment.,1076,,negation_pre
201,106,1,NA,18,base,Were there fresh vegetables at the supermarket?,1,Emily bought fresh vegetables at the supermarket.,3002,,negation_pre
202,106,1,NA,20,base,Was there a new history book in the library?,1,The student read the new history book in the library.,3001,,negation_pre
203,106,0,12,22,base,Was there a claim that the café overcharged the customer for coffee?,0.85,The manager discussed the claim that the café overcharged the customer for coffee.,1125,,negation_pre
204,106,1,NA,24,base,Were there plants on the balcony?,1,Anna watered the plants on the balcony.,3004,,negation_pre
205,106,1,NA,74,base,Was there an old piano in the practice hall?,1,The musician tuned the old piano in the practice hall.,3018,,negation_post
206,106,0,19,76,negated,Was there a claim that the company released the new software ahead of schedule?,1,Megan didn’t discuss the claim that the company released the new software ahead of schedule.,1196,,negation_post
207,106,1,NA,78,base,Were there returned packages at the counter?,1,The clerk sorted the returned packages at the counter.,3024,,negation_post
208,106,1,NA,80,negated,Were there confidential folders in the archive?,1,The assistant didn't label the confidential folders in the archive.,3030,,negation_post
209,106,0,20,82,negated,Was there a claim that the plumber fixed the leak before the inspection?,0.99,The landlord didn’t discuss the claim that the plumber fixed the leak before the inspection.,1206,,negation_post
210,106,1,NA,84,negated,Was there a heavy suitcase?,1,Christine didn't buy the heavy suitcase.,3028,,negation_post
211,106,1,NA,86,base,Was there silver jewelry in the display case?,1,Maria polished the silver jewelry in the display case.,3021,,negation_post
212,106,0,15,88,base,Was there a claim that the photographer lost the camera during the trip?,0.85,Rachel discussed the claim that the photographer lost the camera during the trip.,1155,,negation_post
213,106,1,NA,90,negated,Was there a practice field for the team?,1,The coach didn't reserve the practice field for the team.,3027,,negation_post
214,106,1,NA,92,base,Were there important documents in the office?,1,The journalist reviewed the important documents in the office.,3017,,negation_post
215,106,0,1,94,base,Was there a claim that the bakery shop would serve donuts tomorrow?,1,John discussed the claim that the bakery shop would serve donuts tomorrow.,1015,,negation_post
216,106,1,NA,96,negated,Was there a missing wallet under the table?,0.5,Frank didn't find the missing wallet under the table.,3031,,negation_post
217,304,1,NA,2,base,Were there plants on the balcony?,1,Anna watered the plants on the balcony.,3004,,negation_pre
218,304,0,8,4,negated,Was there a claim that the bus driver skipped several stops during the morning route?,0.91,Liam didn’t discuss the claim that the bus driver skipped several stops during the morning route.,1086,,negation_pre
219,304,1,NA,6,base,Was there an ancient statue?,1,Ben took pictures of the ancient statue.,3007,,negation_pre
220,304,1,NA,8,base,Was there a rare bird near the lake?,1,The hikers caught the rare bird near the lake.,3006,,negation_pre
